Label,Analysis,nVertices,SessCode,ClassifyPair,Classifier,Run,Predicted,Targets,ACC
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,5,1,1,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,5,1,2,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,6,1,1,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,6,1,2,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,7,2,1,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,7,2,2,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,8,2,1,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,8,2,2,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,9,1,1,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,9,1,2,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,10,2,1,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,face_intact-face_exchange,cosmo_classify_libsvm,10,1,2,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,word_intact-word_exchange,cosmo_classify_libsvm,1,5,5,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,word_intact-word_exchange,cosmo_classify_libsvm,1,6,6,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,word_intact-word_exchange,cosmo_classify_libsvm,2,5,5,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,word_intact-word_exchange,cosmo_classify_libsvm,2,5,6,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,word_intact-word_exchange,cosmo_classify_libsvm,3,6,5,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,word_intact-word_exchange,cosmo_classify_libsvm,3,6,6,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,108,faceword07_self,word_intact-word_exchange,cosmo_classify_libsvm,4,6,5,0
