Label,Analysis,nVertices,SessCode,Condition,Response,Area
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,129334,facewordN17_self,Chinese_exchange,0.224987922841683,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,129334,facewordN17_self,Chinese_top,0.755440304800868,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,129334,facewordN17_self,Chinese_bottom,0.076160138688283,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,154066,facewordN18_self,English_intact,0.3930711008368,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,154066,facewordN18_self,English_exchange,0.527453504743115,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,154066,facewordN18_self,English_top,0.52838877852886,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,154066,facewordN18_self,English_bottom,0.511498473344311,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,154066,facewordN18_self,Chinese_intact,0.0692907509416522,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,154066,facewordN18_self,Chinese_exchange,0.15502627602508,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,154066,facewordN18_self,Chinese_top,0.10653720768577,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,154066,facewordN18_self,Chinese_bottom,0.179350643508857,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,144389,facewordN19_self,English_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,144389,facewordN19_self,English_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,144389,facewordN19_self,English_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,144389,facewordN19_self,English_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,144389,facewordN19_self,Chinese_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,144389,facewordN19_self,Chinese_exchange,NaN,50
